sample_id,gt_x,gt_y,stress_mode
sample_065,702.3718289673789,666.673485567042,heavy_noise
sample_066,631.2290068743014,420.1630032905328,charging
sample_067,328.0865177898311,448.05353084848275,standard
sample_068,345.634003447674,250.81709317579953,heavy_noise
sample_069,643.2046157156828,655.8783322941856,charging
sample_070,627.1545877695103,423.27328530298956,standard
sample_071,428.86784394740323,648.657482841328,heavy_noise
sample_072,612.1438027075802,266.5659528453374,charging
sample_073,543.3723035868427,339.64645122020545,standard
sample_074,507.514861733979,513.957317016368,heavy_noise
sample_075,649.7709326034635,479.5426879491651,charging
sample_076,578.8253822955505,367.8918535968657,standard
sample_077,303.4849471419033,672.7809153578492,heavy_noise
sample_078,505.89907623476813,280.72740312480147,charging
sample_079,504.72875001179705,607.358370973986,standard
sample_080,422.3944214592993,733.819406745195,heavy_noise
sample_081,391.0568898174129,427.3391895429164,charging
sample_082,631.2433807393197,538.5508352487944,standard
sample_083,548.4500923602799,628.3651244367588,heavy_noise
sample_084,545.9292502299079,376.02697091085713,charging
sample_085,263.3147857535233,396.0831844347362,standard
sample_086,266.18164573398326,533.7370138628984,heavy_noise
sample_087,660.4730590836969,625.9904112232031,charging
sample_088,254.6592592545902,426.17707790153753,standard
sample_089,612.8458839755066,665.1756709117633,heavy_noise
sample_090,388.2177731977943,257.54179646348,charging
sample_091,710.9790356215818,288.3947347041118,standard
sample_092,631.1121918953063,385.21224346075223,heavy_noise
sample_093,504.5430625972899,565.2026582257151,charging
sample_094,515.9211696121174,600.4230389337306,standard
sample_095,352.1682599893346,331.7821344962556,heavy_noise
sample_096,524.8226403988832,271.3140055970295,charging
sample_097,514.0453532880107,596.4753589547022,standard
sample_098,421.5763127069945,597.2736999066137,heavy_noise
sample_099,475.95147911954064,407.92776762042547,charging
sample_100,344.3599696024462,623.0541307724217,standard
sample_101,673.61639799931,261.57489460727663,heavy_noise
sample_102,712.1332191251531,466.1100622877945,charging
sample_103,421.24250963208976,567.2580416282382,standard
sample_104,587.3958968073202,463.9728940239718,heavy_noise
sample_105,476.86196970915023,720.0803445123908,charging
sample_106,731.9355288501989,404.8785484368259,standard
sample_107,515.659008200969,648.5153227945211,heavy_noise
sample_108,537.6208196603512,697.4402252184148,charging
sample_109,735.0849199243572,687.5718829119447,standard
sample_110,556.4202419731971,715.7888779238322,heavy_noise
sample_111,528.2586149115455,596.8937676889198,charging
sample_112,352.1627904278323,254.72011365670173,standard
sample_113,293.8963590178127,324.44264664912515,heavy_noise
sample_114,475.6738181656398,289.2023966388878,charging
sample_115,677.4351884361673,484.71486008174634,standard
sample_116,481.83118625066516,652.1440578092672,heavy_noise
sample_117,412.79374642214316,419.5546291785658,charging
sample_118,368.42214580300634,313.2662873832053,standard
sample_119,595.7798821520847,619.4456452545278,heavy_noise
sample_120,643.2312858180923,700.9647184154464,charging
sample_121,575.5202507061508,345.3628969555268,standard
sample_122,377.2411488738733,740.4153291416781,heavy_noise
sample_123,737.5687481632615,612.5491911682606,charging
sample_124,382.3641817712105,676.293190811381,standard
sample_125,712.1587521606839,322.2380455931412,heavy_noise
sample_126,363.4088773447571,542.552142084227,charging
sample_127,704.8575343073971,281.6929569905841,standard
sample_128,427.96881073270606,343.5427779345983,heavy_noise
sample_129,665.6038569210152,734.7806355381418,charging
sample_130,437.4802633108849,357.87171085786554,standard
sample_131,435.37743313679414,720.1807752366722,heavy_noise
sample_132,687.7909648705321,648.5173226134727,charging
sample_133,749.3386648283243,540.6672596659845,standard
sample_134,288.36982083539704,522.5424980991329,heavy_noise
sample_135,333.20940503678685,402.53243843142843,charging
sample_136,684.8370408065033,628.1775106742475,standard
sample_137,292.6489661493427,382.65780646837163,heavy_noise
sample_138,298.2825160329354,510.1222115645905,charging
sample_139,285.7475206875815,695.4806684042443,standard
sample_140,349.4342707237123,321.77808932991394,heavy_noise
sample_141,635.5271232019179,437.5263153408188,charging
sample_142,427.86321397565666,555.669742567615,standard
sample_143,281.53333638820095,676.4256778542483,heavy_noise
sample_144,571.6037005275074,294.6367749318964,charging
sample_145,529.8753083545972,366.15751795150436,standard
sample_146,325.1766559636512,525.3122615241876,heavy_noise
sample_147,627.6767104186481,749.4565729299012,charging
sample_148,570.7824135988456,594.9383197847671,standard
sample_149,689.4829191801432,626.2229271441233,heavy_noise
sample_150,453.81159895386133,742.0774778185712,charging
sample_151,448.24627259493207,746.829540874505,standard
sample_152,256.58698502925745,351.85609408989666,heavy_noise
sample_153,714.6530732213055,262.5346561429594,charging
sample_154,301.34461296846735,625.1464268917445,standard
sample_155,277.8936651320545,509.5496265750831,heavy_noise
sample_156,416.6830012812318,491.18120451408936,charging
sample_157,494.2869623173583,338.8571378817988,standard
sample_158,730.947655021894,538.9612551908057,heavy_noise
sample_159,599.2736170516973,285.39099542665224,charging
sample_160,398.04745870504064,409.82654979200083,standard
sample_161,521.0173629325606,449.9906962079717,heavy_noise
sample_162,685.6402568158874,309.4076537513299,charging
sample_163,588.3672070121092,746.7419333112625,standard
sample_164,269.4754947272817,438.07465386841034,heavy_noise
sample_165,442.773336505138,650.6980121581832,charging
sample_166,614.7470775244446,442.0771218927689,standard
sample_167,599.8402962116445,546.5856718758174,heavy_noise
sample_168,268.0475598308866,277.6271698282503,charging
sample_169,253.19508380476185,323.3729656034551,standard
sample_170,444.44164195584653,510.6979079511732,heavy_noise
sample_171,674.1569284175671,716.5244969999198,charging
sample_172,683.3464949808067,623.5473508635853,standard
sample_173,443.9176008770884,324.8014100769031,heavy_noise
sample_174,361.42127857637354,734.8227375511017,charging
sample_175,254.16296546962315,559.3437321596011,standard
sample_176,360.7257440520881,406.16920094765476,heavy_noise
sample_177,649.7127353367246,583.1525950848645,charging
sample_178,396.0384088595632,287.51013198875245,standard
sample_179,740.0060053024922,377.1728309989095,heavy_noise
sample_180,393.3519797721643,599.7766208208454,charging
sample_181,404.08746926582006,257.31744076434455,standard
sample_182,333.5726167853396,724.1535001406895,heavy_noise
sample_183,494.459600567048,653.3569844550229,charging
sample_184,296.9393292005418,323.06219487760643,standard
sample_185,282.01260178347076,708.7384087907601,heavy_noise
sample_186,572.1198860235213,600.6345364762781,charging
sample_187,415.2167085311801,373.6379027431334,standard
sample_188,634.1983527953,649.1517918087712,heavy_noise
sample_189,471.1463370656854,274.2316521774022,charging
sample_190,561.4958335845552,653.438401072397,standard
sample_191,723.195946122745,336.6861285530317,heavy_noise
sample_192,556.8940506596741,543.0996800776416,charging
sample_193,295.4631066834862,648.8456727726877,standard
sample_194,749.6436882446492,504.4978565308136,heavy_noise
sample_195,556.1145917421543,300.9113474477716,charging
sample_196,266.9578704268852,293.9151539578985,standard
sample_197,715.202025612609,311.5902484796197,heavy_noise
sample_198,399.58927828974015,675.7628634235383,charging
sample_199,352.5309806748409,327.51807015123404,standard
sample_200,307.5509845903533,311.96022358905896,heavy_noise
